rm,fsz,tipus,napelemszam,mfbMuszak,nettoListaar,mfbAR,tuzeseti,szezonalis
2.52,1,SolarEdge SE3680H,8,Nem,1860760,Nem,0,5
2.835,1,SolarEdge SE3680H,9,Nem,1966346,Nem,0,5
3.15,1,SolarEdge SE3680H,10,Igen,2038984,Nem,0,5
3.465,1,SolarEdge SE3680H,11,Igen,2230588,Nem,0,5
3.78,1,SolarEdge SE3680H,12,Igen,2303226,Nem,0,5
3.15,1,SolarEdge SE4000H,10,Nem,2083319,Nem,0,5
3.465,1,SolarEdge SE4000H,11,Igen,2274924,Nem,0,5
3.78,1,SolarEdge SE4000H,12,Igen,2347561,Nem,0,5
4.095,1,SolarEdge SE4000H,13,Igen,2446484,Nem,0,5
4.41,1,SolarEdge SE4000H,14,Igen,2519121,Igen,0,5
3.78,1,SolarEdge SE5000H,12,Nem,2368796,Nem,0,5
4.095,1,SolarEdge SE5000H,13,Igen,2467720,Nem,0,5
4.41,1,SolarEdge SE5000H,14,Igen,2540358,Igen,0,5
4.725,1,SolarEdge SE5000H,15,Igen,2690198,Igen,0,5
5.04,1,SolarEdge SE5000H,16,Igen,2762835,Igen,0,5
5.355,1,SolarEdge SE5000H,17,Igen,2902128,Igen,0,5
5.67,1,SolarEdge SE5000H,18,Igen,2974765,Igen,0,5
4.41,3,SolarEdge SE5k,14,Igen,2673004,Nem,0,5
4.725,3,SolarEdge SE5k,15,Igen,2825548,Nem,0,5
5.04,3,SolarEdge SE5k,16,Igen,2857645,Igen,0,5
5.355,3,SolarEdge SE5k,17,Igen,2996936,Igen,0,5
5.67,3,SolarEdge SE5k,18,Igen,3069574,Igen,0,5
4.41,3,SolarEdge SE7k,14,Nem,2735939,Nem,0,5
4.725,3,SolarEdge SE7k,15,Nem,2888481,Nem,0,5
5.04,3,SolarEdge SE7k,16,Nem,2920579,Igen,0,5
5.355,3,SolarEdge SE7k,17,Nem,3059871,Igen,0,5
5.67,3,SolarEdge SE7k,18,Igen,3132509,Igen,0,5
5.985,3,SolarEdge SE7k,19,Igen,3297186,Igen,0,5
6.3,3,SolarEdge SE7k,20,Igen,3369824,Igen,0,5
6.615,3,SolarEdge SE7k,21,Igen,3509718,Igen,0,5
6.93,3,SolarEdge SE7k,22,Igen,3582355,Igen,0,5
7.245,3,SolarEdge SE7k,23,Igen,3691448,Igen,0,5
7.56,3,SolarEdge SE7k,24,Igen,3764085,Igen,0,5
5.67,3,SolarEdge SE9k,18,Nem,3218609,Igen,0,5
5.985,3,SolarEdge SE9k,19,Nem,3383286,Igen,0,5
6.3,3,SolarEdge SE9k,20,Nem,3455924,Igen,0,5
6.615,3,SolarEdge SE9k,21,Nem,3595818,Igen,0,5
