rm,fsz,tipus,napelemszam,mfbMuszak,nettoListaar,mfbAR,tuzeseti,szezonalis
2.655,1,Fronius Primo 3.0-1,9,Igen,1812614,Nem,0,5
2.95,1,Fronius Primo 3.0-1,10,Igen,1856312,Nem,0,5
3.245,1,Fronius Primo 3.0-1,11,Igen,2026294,Nem,0,5
2.95,1,Fronius Primo 3.5-1,10,Igen,1876845,Nem,0,5
3.245,1,Fronius Primo 3.5-1,11,Igen,2046827,Nem,0,5
3.54,1,Fronius Primo 3.5-1,12,Igen,2090525,Igen,0,5
3.835,1,Fronius Primo 3.5-1,13,Igen,2163682,Igen,0,5
3.245,1,Fronius Primo 3.6-1,11,Igen,2050249,Nem,0,5
3.54,1,Fronius Primo 3.6-1,12,Igen,2093947,Igen,0,5
3.835,1,Fronius Primo 3.6-1,13,Igen,2167104,Igen,0,5
4.13,1,Fronius Primo 3.6-1,14,Igen,2210802,Igen,0,5
3.54,1,Fronius Primo 4.0-1,12,Igen,2114480,Nem,0,5
3.835,1,Fronius Primo 4.0-1,13,Igen,2187638,Igen,0,5
4.13,1,Fronius Primo 4.0-1,14,Igen,2231335,Igen,0,5
4.425,1,Fronius Primo 4.0-1,15,Igen,2356895,Igen,0,5
3.835,1,Fronius Primo 4.6-1,13,Igen,2216157,Igen,0,5
4.13,1,Fronius Primo 4.6-1,14,Igen,2259854,Igen,0,5
4.425,1,Fronius Primo 4.6-1,15,Igen,2385414,Igen,0,5
4.72,1,Fronius Primo 4.6-1,16,Igen,2429112,Igen,0,5
5.015,1,Fronius Primo 4.6-1,17,Igen,2543452,Igen,0,5
5.31,1,Fronius Primo 4.6-1,18,Igen,2587149,Igen,0,5
4.425,1,Fronius Primo 5.0-1,15,Igen,2402525,Igen,0,5
4.72,1,Fronius Primo 5.0-1,16,Igen,2446223,Igen,0,5
5.015,1,Fronius Primo 5.0-1,17,Igen,2560563,Igen,0,5
5.31,1,Fronius Primo 5.0-1,18,Igen,2604261,Igen,0,5
5.605,1,Fronius Primo 5.0-1,19,Igen,2745602,Igen,0,5
5.9,1,Fronius Primo 5.0-1,20,Igen,2789300,Igen,0,5
2.655,3,Fronius Symo 3.0-3-M,9,Igen,1895275,Nem,0,5
2.95,3,Fronius Symo 3.0-3-M,10,Igen,1938972,Nem,0,5
3.245,3,Fronius Symo 3.0-3-M,11,Igen,2108954,Nem,0,5
3.245,3,Fronius Symo 3.7-3-M,11,Igen,2155155,Nem,0,5
3.54,3,Fronius Symo 3.7-3-M,12,Igen,2198852,Nem,0,5
3.835,3,Fronius Symo 3.7-3-M,13,Igen,2272009,Nem,0,5
