rm,fsz,tipus,napelemszam,mfbMuszak,nettoListaar,mfbAR,tuzeseti,szezonalis
10.325,3,Growatt 11000 TL3-S,35,Igen,4246970,Igen,0,5
10.62,3,Growatt 11000 TL3-S,36,Igen,4290045,Igen,0,5
10.915,3,Growatt 11000 TL3-S,37,Igen,4385234,Igen,0,5
11.21,3,Growatt 11000 TL3-S,38,Igen,4428309,Igen,0,5
11.505,3,Growatt 11000 TL3-S,39,Igen,4509384,Igen,0,5
11.8,3,Growatt 11000 TL3-S,40,Igen,4552459,Igen,0,5
1.18,1,Growatt 1500-S,4,Nem,1120374,Nem,0,10
1.475,1,Growatt 1500-S,5,Igen,1257994,Nem,0,10
1.77,1,Growatt 1500-S,6,Igen,1301069,Nem,0,10
1.77,1,Growatt 2000-S,6,Igen,1330255,Nem,0,10
2.065,1,Growatt 2000-S,7,Igen,1405793,Nem,0,10
2.36,1,Growatt 3000-S,8,Nem,1479594,Nem,0,10
2.655,1,Growatt 3000-S,9,Igen,1556965,Igen,0,10
2.95,1,Growatt 3000-S,10,Igen,1600040,Igen,0,10
3.245,1,Growatt 3000-S,11,Igen,1767600,Igen,0,10
2.36,1,Growatt 2500 MTL-S,8,Igen,1553575,Nem,0,10
2.655,1,Growatt 2500 MTL-S,9,Igen,1630946,Igen,0,10
2.95,1,Growatt 2500 MTL-S,10,Igen,1674021,Igen,0,10
3.245,1,Growatt 2500 MTL-S,11,Nem,1841581,Igen,0,10
2.36,1,Growatt 3000 MTL-S,8,Nem,1569494,Nem,0,10
2.655,1,Growatt 3000 MTL-S,9,Igen,1646865,Igen,0,10
2.95,1,Growatt 3000 MTL-S,10,Igen,1689940,Igen,0,10
2.95,1,Growatt 3600 MTL-S,10,Igen,1721778,Igen,0,10
3.245,1,Growatt 3600 MTL-S,11,Igen,1889339,Igen,0,10
3.54,1,Growatt 3600 MTL-S,12,Igen,1932414,Igen,0,10
2.95,1,Growatt 4200 MTL-S,10,Nem,1741677,Igen,0,10
3.245,1,Growatt 4200 MTL-S,11,Nem,1909238,Igen,0,10
