rm,fsz,tipus,napelemszam,mfbMuszak,nettoListaar,mfbAR,tuzeseti,szezonalis
4.425,1,SolarEdge SE5000H,15,Igen,2656155,Nem,1,5
4.72,1,SolarEdge SE5000H,16,Igen,2716855,Igen,1,5
5.015,1,SolarEdge SE5000H,17,Igen,2845422,Igen,1,5
5.31,1,SolarEdge SE5000H,18,Igen,2906122,Igen,1,5
4.13,3,SolarEdge SE5k,14,Igen,2651907,Nem,1,5
4.425,3,SolarEdge SE5k,15,Igen,2793966,Nem,1,5
4.72,3,SolarEdge SE5k,16,Igen,2813388,Nem,1,5
5.015,3,SolarEdge SE5k,17,Igen,2941954,Igen,1,5
5.31,3,SolarEdge SE5k,18,Igen,3002654,Igen,1,5
5.605,3,SolarEdge SE5k,19,Igen,3157068,Igen,1,5
5.9,3,SolarEdge SE5k,20,Igen,3217768,Igen,1,5
4.13,3,SolarEdge SE7k,14,Igen,2715986,Nem,1,5
4.425,3,SolarEdge SE7k,15,Igen,2858044,Nem,1,5
4.72,3,SolarEdge SE7k,16,Igen,2877467,Nem,1,5
5.015,3,SolarEdge SE7k,17,Igen,3006033,Nem,1,5
5.31,3,SolarEdge SE7k,18,Igen,3066733,Igen,1,5
5.605,3,SolarEdge SE7k,19,Igen,3221147,Igen,1,5
5.9,3,SolarEdge SE7k,20,Igen,3281847,Igen,1,5
6.195,3,SolarEdge SE7k,21,Igen,3411025,Igen,1,5
6.49,3,SolarEdge SE7k,22,Igen,3471725,Igen,1,5
6.785,3,SolarEdge SE7k,23,Igen,3569542,Igen,1,5
7.08,3,SolarEdge SE7k,24,Igen,3630242,Igen,1,5
7.375,3,SolarEdge SE7k,25,Igen,3789675,Igen,1,5
7.67,3,SolarEdge SE7k,26,Igen,3850375,Igen,1,5
7.965,3,SolarEdge SE7k,27,Igen,3154399,Igen,1,5
2.36,1,SolarEdge SE3680H,8,Nem,1904445,Nem,1,10
2.655,1,SolarEdge SE3680H,9,Nem,1998692,Nem,1,10
2.95,1,SolarEdge SE3680H,10,Igen,2059392,Nem,1,10
3.245,1,SolarEdge SE3680H,11,Igen,2241222,Nem,1,10
3.54,1,SolarEdge SE3680H,12,Igen,2301922,Nem,1,10
3.835,1,SolarEdge SE3680H,13,Igen,2389386,Igen,1,10
4.13,1,SolarEdge SE3680H,14,Igen,2450086,Igen,1,10
2.95,1,SolarEdge SE4000H,10,Nem,2104534,Nem,1,10
3.245,1,SolarEdge SE4000H,11,Igen,2286364,Nem,1,10
3.54,1,SolarEdge SE4000H,12,Igen,2347064,Nem,1,10
3.835,1,SolarEdge SE4000H,13,Igen,2434527,Nem,1,10
4.13,1,SolarEdge SE4000H,14,Igen,2495227,Igen,1,10
4.425,1,SolarEdge SE4000H,15,Igen,2634534,Igen,1,10
4.72,1,SolarEdge SE4000H,16,Igen,2695234,Igen,1,10
3.54,1,SolarEdge SE5000H,12,Igen,2368685,Nem,1,10
3.835,1,SolarEdge SE5000H,13,Igen,2456149,Nem,1,10
4.13,1,SolarEdge SE5000H,14,Igen,2516849,Igen,1,10
4.425,1,SolarEdge SE5000H,15,Igen,2656155,Igen,1,10
4.72,1,SolarEdge SE5000H,16,Igen,2716855,Igen,1,10
5.015,1,SolarEdge SE5000H,17,Igen,2845422,Igen,1,10
5.31,1,SolarEdge SE5000H,18,Igen,2906122,Igen,1,10
4.13,3,SolarEdge SE5k,14,Igen,2651907,Nem,1,10
4.425,3,SolarEdge SE5k,15,Igen,2793966,Nem,1,10
4.72,3,SolarEdge SE5k,16,Igen,2813388,Igen,1,10
5.015,3,SolarEdge SE5k,17,Igen,2941954,Igen,1,10
5.31,3,SolarEdge SE5k,18,Igen,3002654,Igen,1,10
5.605,3,SolarEdge SE5k,19,Igen,3157068,Igen,1,10
5.9,3,SolarEdge SE5k,20,Igen,3217768,Igen,1,10
4.13,3,SolarEdge SE7k,14,Igen,2715986,Nem,1,10
4.425,3,SolarEdge SE7k,15,Igen,2858044,Nem,1,10
4.72,3,SolarEdge SE7k,16,Igen,2877467,Igen,1,10
5.015,3,SolarEdge SE7k,17,Igen,3006033,Igen,1,10
5.31,3,SolarEdge SE7k,18,Igen,3066733,Igen,1,10
5.605,3,SolarEdge SE7k,19,Igen,3221147,Igen,1,10
5.9,3,SolarEdge SE7k,20,Igen,3281847,Igen,1,10
6.195,3,SolarEdge SE7k,21,Igen,3411025,Igen,1,10
6.49,3,SolarEdge SE7k,22,Igen,3471725,Igen,1,10
6.785,3,SolarEdge SE7k,23,Igen,3569542,Igen,1,10
7.08,3,SolarEdge SE7k,24,Igen,3630242,Igen,1,10
7.375,3,SolarEdge SE7k,25,Igen,3789675,Igen,1,10
7.67,3,SolarEdge SE7k,26,Igen,3850375,Igen,1,10
7.965,3,SolarEdge SE7k,27,Igen,3154399,Igen,1,10
2.36,1,SolarEdge SE3680H,8,Nem,1904445,Nem,1,15
2.655,1,SolarEdge SE3680H,9,Nem,1998692,Nem,1,15
2.95,1,SolarEdge SE3680H,10,Igen,2059392,Nem,1,15
3.245,1,SolarEdge SE3680H,11,Igen,2241222,Nem,1,15
3.54,1,SolarEdge SE3680H,12,Igen,2301922,Igen,1,15
3.835,1,SolarEdge SE3680H,13,Igen,2389386,Igen,1,15
4.13,1,SolarEdge SE3680H,14,Igen,2450086,Igen,1,15
2.95,1,SolarEdge SE4000H,10,Nem,2104534,Nem,1,15
3.245,1,SolarEdge SE4000H,11,Igen,2286364,Nem,1,15
3.54,1,SolarEdge SE4000H,12,Igen,2347064,Nem,1,15
3.835,1,SolarEdge SE4000H,13,Igen,2434527,Igen,1,15
4.13,1,SolarEdge SE4000H,14,Igen,2495227,Igen,1,15
