rm,fsz,tipus,napelemszam,mfbMuszak,nettoListaar,mfbAR,tuzeseti,szezonalis
0.945,1,Growatt 1000 S,3,Igen,1090597,Nem,0,5
1.26,1,Growatt 1000 S,4,Nem,1146669,Nem,0,5
0.945,1,Growatt 1500 S,3,Nem,1105329,Nem,0,5
1.26,1,Growatt 1500 S,4,Nem,1161402,Nem,0,5
1.575,1,Growatt 1500 S,5,Igen,1310926,Nem,0,5
0.945,1,Growatt 2000 S,3,Nem,1134178,Nem,0,5
1.26,1,Growatt 2000 S,4,Nem,1190250,Nem,0,5
1.575,1,Growatt 2000 S,5,Nem,1339774,Nem,0,5
1.89,1,Growatt 2000 S,6,Igen,1395847,Nem,0,5
2.205,1,Growatt 2000 S,7,Igen,1484007,Nem,0,5
0.945,1,Growatt 3000 S,3,Nem,1164549,Nem,0,5
1.26,1,Growatt 3000 S,4,Nem,1220621,Nem,0,5
1.575,1,Growatt 3000 S,5,Nem,1370145,Nem,0,5
1.89,1,Growatt 3000 S,6,Nem,1426217,Nem,0,5
2.205,1,Growatt 3000 S,7,Nem,1514377,Nem,0,5
2.52,1,Growatt 3000 S,8,Igen,1570450,Nem,0,5
2.835,1,Growatt 3000 S,9,Igen,1660421,Igen,0,5
3.15,1,Growatt 3000 S,10,Igen,1716493,Igen,0,5
2.52,1,Growatt 2500 MTL-S,8,Igen,1643575,Nem,0,5
2.52,1,Growatt 3000 MTL-S,8,Igen,1659310,Nem,0,5
2.835,1,Growatt 3000 MTL-S,9,Igen,1749282,Nem,0,5
3.15,1,Growatt 3000 MTL-S,10,Igen,1805354,Igen,0,5
2.52,1,Growatt 3600 MTL-S,8,Nem,1690781,Nem,0,5
2.835,1,Growatt 3600 MTL-S,9,Nem,1780752,Nem,0,5
3.15,1,Growatt 3600 MTL-S,10,Igen,1836824,Igen,0,5
3.465,1,Growatt 3600 MTL-S,11,Igen,2015943,Igen,0,5
3.78,1,Growatt 3600 MTL-S,12,Igen,2072015,Igen,0,5
2.52,1,Growatt 4200 MTL-S,8,Nem,1710449,Nem,0,5
2.835,1,Growatt 4200 MTL-S,9,Nem,1800421,Nem,0,5
3.15,1,Growatt 4200 MTL-S,10,Nem,1856493,Igen,0,5
3.465,1,Growatt 4200 MTL-S,11,Igen,2035612,Igen,0,5
3.78,1,Growatt 4200 MTL-S,12,Igen,2091684,Igen,0,5
4.095,1,Growatt 4200 MTL-S,13,Igen,2176460,Igen,0,5
